Katakana,Transliteration,Additional
アフターサービス,after service,"after-sales service, customer service, post-sale support, warranty service, technical support, maintenance service, after-sales support, customer support, user support, follow-up service"
アイドル,idol,"idol, idols, pop idol, pop idols, teen idol, teen idols, celebrity, celebrities, star, stars"
アイス,ice,"ice, ice cream, frozen treat, popsicle, ice pop, frozen dessert, iced treat, gelato, sorbet, sherbet, frozen confection, ices"
アイスクリーム,ice cream,"ice cream, ice creams, icecream, ice-cream, frozen dessert, gelato, sorbet"
アイゼン,,"crampons, crampon, ice cleat, ice cleats, climbing spikes, ice spikes, mountaineering crampons"
アメフト,,"American football, football, gridiron football, NFL football, college football, pro football"
アメリカンドッグ,American dog,"corn dog, corn dogs, hot dog on a stick, battered hot dog, battered sausage, deep-fried hot dog, stick hot dog"
アニメ,anime,"anime, animation, animations, animated series, animated show, animated shows, Japanese animation, Japanese animations, cartoon, cartoons"
アンケート,enquête,"survey, questionnaire, poll, surveys, questionnaires, polls, inquiry, inquiries"
アンニュイ,,"ennui, boredom, listlessness, weariness, tedium, languor, apathy, melancholy, world-weariness, existential boredom, spiritual fatigue, lassitude"
アパート,apart,"apartment, apartments, flat, flats, unit, units, rental unit, rental units"
アポ,,"appointment, appointments, meeting, meetings, scheduled meeting, business meeting, date, dates"
アロエ,aloe,"aloe, aloe vera, aloe plant, aloe plants, aloes"
アルバイト or バイト,,"part-time job, part-time work, part-time jobs, part-time, side job, side jobs, temporary job, temporary jobs, casual work, casual job, casual jobs, temp work"
アールブイ,RV,"RV, recreational vehicle, recreational vehicles, RVs, motorhome, motorhomes, camper, campers, travel trailer, travel trailers"
アルコール,alcohol,"alcohol, alcohols, ethanol, ethyl alcohol, spirits, liquor, booze, drink, drinks, alcoholic beverage, alcoholic beverages"
アウトコース,out course,"outside lane, outer lane, outside track, outer track, outside course, outer course, outside lanes, outer lanes, outside tracks, outer tracks"
バーゲン,bargain,"bargain, bargains, sale, sales, discount sale, discount sales, clearance, clearance sale, clearance sales, special offer, special offers, deal"
バイク,bike,"bike, bikes, motorcycle, motorcycles, motorbike, motorbikes, scooter, scooters"
バカンス,,"vacation, holiday, vacations, holidays, break, breaks, getaway, getaways, time off, leave"
ブックカバー,book cover,"book cover, book covers, dust jacket, dust jackets, book jacket, book jackets, protective cover, protective covers"
バックミラー,back mirror,"rearview mirror, rear-view mirror, rearview mirrors, rear-view mirrors, side mirror, side mirrors, wing mirror, wing mirrors"
バックナンバー,back number,"back issue, back issues, back numbers, past issue, past issues, previous issue, previous issues, old issue, old issues, archived issue, archived issues"
バックネット,back net,"backstop, backstop net, back net, back nets, backstops, backstop nets, safety net, safety nets, protective net, protective nets, catch net, catch nets"
バリアフリー,barrier-free,"accessible, accessibility, barrier-free, handicap accessible, wheelchair accessible, ADA compliant, universal design, inclusive design, accessible design, disability-friendly, barrier-free design, accessible facilities"
バリカン,,"hair clipper, hair clippers, trimmer, trimmers, electric trimmer, electric trimmers, clipper, clippers"
バスジャック,bus jack,"bus hijacking, bus hijack, bus hijacker, bus hijackers, bus hijackings, hijacking, hijack, hijacker, hijackers, hijackings"
バター,butter,"butter, butters"
バッティング,batting,"batting, hitting, at bat, at-bat, plate appearance, turn at bat, batting practice, batting cage"
ベビーカー,baby car,"stroller, pushchair, pram, baby carriage, strollers, pushchairs, prams, baby carriages, buggy, buggies"
ベッドタウン,bed town,"bedroom community, commuter town, dormitory town, suburb, suburban community, residential suburb, bedroom communities, commuter towns, dormitory towns, suburbs, suburban communities, residential suburbs"
ビロード,,"velvet, velvets, velour, plush, plush fabric, velveteen"
ビル,building,"building, buildings, office building, office buildings, high-rise, high-rises, skyscraper, skyscrapers, tower, towers"
ビール,beer,"beer, beers, lager, ale, brew, brews"
ボンベ,,"cylinder, gas cylinder, tank, gas tank, bottle, gas bottle, cylinders, gas cylinders, tanks, gas tanks, bottles, gas bottles"
ボールペン,ballpoint pen,"ballpoint pen, ballpoint pens, ball pen, ball pens, biro, biros, pen, pens"
ボタン,button,"button, buttons, push button, push buttons, switch, switches"
ブランコ,,"swing, swings, swingset, swing set, playground swing, playground swings"
ブレザー,blazer,"blazer, blazers, sport coat, sport jacket, suit jacket, jacket"
ブルマ,bloomer,"bloomer, bloomers, gym shorts, PE shorts, athletic shorts, sports shorts, school shorts, exercise shorts"
チャージ,charge,"charge, charges, charging, recharge, recharges, recharging, top up, top-up, load, loads, loading"
チアガール,cheer girl,"cheerleader, cheerleaders, cheer girl, cheer girls, pom-pom girl, pom-pom girls"
チケット,ticket,"tickets, pass, passes, stub, stubs, voucher, vouchers"
チンキ,tincture,"tincture, tinctures, medicinal tincture, medicinal tinctures, liquid medicine, liquid extract, herbal tincture, herbal tinctures"
ダンプカー,dump car,"dump truck, dumper truck, tipper truck, dump trucks, dumper trucks, tipper trucks, dumper, dumpers"
ダストボックス,dust box,"trash can, garbage bin, rubbish bin, waste bin, trash cans, garbage bins, rubbish bins, waste bins, trashcan, trashcans, dustbin, dustbins"
電子レンジ or レンジ,range,"microwave, microwave oven, microwaves, microwave ovens"
デパート,depart,"department store, department stores, depart"
デリバリーヘルス,,"escort service, call girl service, delivery health service, escort services, call girl services, outcall service, outcall services"
デスク,desk,"desk, desks, writing desk, office desk, computer desk, study desk, work desk, table"
デマ,,"false rumor, false rumors, misinformation, disinformation, fake news, hoax, hoaxes, propaganda, lies, falsehood, falsehoods, untruth"
ドイツ,Germany,"Germany, German, Deutschland, Federal Republic of Germany, FRG"
ドンマイ,don't mind,"don't worry, no worries, it's okay, don't worry about it, never mind, don't sweat it, no problem, it's fine, don't mind it, forget about it, shake it off, chin up"
ドライバー,driver,"driver, drivers, screwdriver, screwdrivers, device driver, device drivers, golf driver, golf drivers"
ドライブイン,drive-in,"drive-in, drive-ins, drive in, drive ins, roadside restaurant, roadside restaurants, drive-through restaurant, drive-through restaurants"
ドラマ,drama,"drama, dramas, TV drama, television drama, TV series, television series, show, shows"
ドリフト,drift,"drift, drifts, drifting, drift racing, power slide, controlled slide"
エアコン,air con,"air conditioner, air conditioning, AC, A/C, air conditioners, air cons, aircon, aircons"
エキス,extract,"extract, extracts, essence, essences, concentrate, concentrates, tincture, tinctures"
エネルギッシュ,energetic,"energetic, energetically, vigorous, dynamic, lively, spirited, enthusiastic, vibrant, active, full of energy"
エレベーター,elevator,"elevator, elevators, lift, lifts"
エロ,ero,"erotic, sexual, perverted, lewd, adult, pornographic, sexy, naughty, risqué, suggestive, explicit, mature"
エール,ale,"ale, ales, yell, yells, cheer, cheers, encouragement, support, shout of encouragement"
エスカレーター,escalator,"escalator, escalators, moving staircase, moving stairway, moving stairs"
エステ,,"spa, beauty salon, esthetic salon, beauty treatment, facial treatment, spas, beauty salons, esthetic salons, beauty treatments, facial treatments, aesthetics, esthetics"
エッチ,ecchi,"ecchi, perverted, naughty, lewd, sexy, erotic, indecent, dirty, horny, lustful, lecherous, pervy"
ファイト,fight,"fight, fights, fighting, go for it, you can do it, hang in there, keep going, don't give up"
ファミコン,famicom,"Famicom, Nintendo Entertainment System, NES, Family Computer, Nintendo Famicom, 8-bit console, retro console, classic console"
