katakana	english
パーセント	percent
アメリカ	America
ページ	page
センター	center
サービス	service
システム	system
メートル	metre
テレビ	television
メール	mail
データ	data
フランス	France
ポイント	point
ホーム	home
ホテル	hotel
ブログ	blog
クリック	click
グループ	group
エネルギー	energy
タイプ	type
ドル	dollar
ドイツ	Germany (from Deutsch)
アップ	up
イメージ	image
スポーツ	sport
パソコン	personal computer
モデル	model
レベル	level
カード	card
チーム	team
バス	bus
アジア	Asia
ソフト	soft
イギリス	England
ファイル	file
キロ	kilo
ケース	case
ドア	door
サイト	site
チェック	check
ファックス	fax
ワン	one
ヨーロッパ	Europe
ゲーム	game
デザイン	design
ボール	ball
クラブ	club
メーカー	maker (manufacturer)
ファン	fan
インターネット	internet
ネット	net
ガス	gas
パン	bread
ライン	line
コース	course
タバコ	tabaco
カメラ	camera
テーマ	theme
テーブル	table
ベッド	bed
プロ	pro
トップ	top
イン	in
ボタン	button
コンピューター	computer
ザ	the
バランス	balance
ママ	mama
タイム	time
クラス	class
ネットワーク	network
メンバー	member
ビル	building
プログラム	program
メニュー	menu
ガラス	glas
セット	set
ロシア	Russia
スタート	start
ニュース	news
キー	key
マン	man
エンジン	engine
スタイル	style
ベース	base
コーヒー	coffee
ドラマ	drama
コスト	cost
イタリア	Italia
シート	sheet
オーケー	okay
リスク	risk
インド	India
キリスト	Christ
ウインドー	window
イベント	event
ビデオ	video
カラー	color
メディア	media
ビール	beer
オン	on
スーパー	super
パリ	Paris
ブランド	brand
キロメートル	kilometre
センチ	centimetre
テスト	test
レース	race
マンション	mansion
ミリメートル	millimetre
バー	bar
ホール	hall
ショップ	shop
ビジネス	business
トン	ton
シャツ	shirt
トイレ	toilet
スタッフ	staff
ストレス	stress
カップ	cup
ワイン	wine
スピード	speed
コメント	comment
プレー	play
ボランティア	volunteer
ルール	rule
シリーズ	series
オークション	auction
プラス	plus
クリーム	cream
オープン	open
デジタル	digital
バック	back
バッグ	bag
アドレス	address
パターン	pattern
ベスト	best
ボックス	box
フリー	free
メッセージ	message
プロジェクト	project
コーナー	corner
チャンス	chance
オブ	of
コントロール	control
ウイルス	virus
マーク	mark
ナンバー	number
ローマ	Rome
パワー	power
シーン	scene
アドバイス	advice
ショック	shock
アクセス	access
マイ	my
ブルー	blue
ラジオ	radio
タイトル	title
ユーザー	user
カー	car
プレゼント	present
コピー	copy
カレー	curry
ゴルフ	golf
ケア	care
レストラン	restaurant
テル	tell
トラブル	trouble
カット	cut
ライブ	live
ショー	show
キログラム	kilogramme
サッカー	soccer
クリスマス	Christmas
ソース	sauce
コミュニケーション	communication
ピンク	pink
コード	code
スペイン	Spain
スペース	space
スター	star
パーティー	party
リスト	list
ドライブ	drive
ユダヤ	Judaea (+ 人 = Jew)
ツール	tool
ポケット	pocket
タイヘイ	Taihei
マイナス	minus
テープ	tape
ノート	note
ワード	word
ケーキ	cake
タクシー	taxi
セックス	sex
モード	mode
サイド	side
メモ	memo
パパ	papa
ロンドン	London
アンド	and
グリーン	green
メーン	main
スープ	soup
ピアノ	piano
プラン	plan
ツアー	tour
トラック	truck
テキスト	text
バイク	bike
レンズ	lens
ハウス	house
ラーメン	ramen
プロセス	process
キス	kiss
コート	coat
リーグ	league
アフリカ	Africa
ニュー	new
ニーズ	needs
ミス	mistake
サラダ	salad
タイ	Thailand
オフ	off
パート	part
ミニ	mini
アパート	apartment
シーズン	season
ゼロ	zero
トマト	tomato
ローン	loan
ウェブ	web
オイル	oil
ボディー	body
サイズ	size
チーズ	cheese
ステージ	stage
ジャパン	Japan
パック	pack
ゴム	gum
カバー	cover
リーダー	leader
イスラム	Islam
ハイ	high
ヒット	hit
デー	day
バンド	band
イラク	Iraq
ルート	route
ルーム	room
アイディア	idea
タオル	towel
フル	full
パンツ	pants
ギリシャ	Greece
コンサート	concert
ジョン	John
ダンス	dance
グラス	glass
アルバム	album
サイン	sign
ベトナム	Vietnam
テロ	terrorism
ラブ	love
スキー	ski
ペン	pen
バター	butter
ホワイト	white
アルコール	alcohol
グラフ	graph
オフィス	office
ラン	run
ペット	pet
イエス	Jesus
リズム	rhythm
トレーニング	training
レコード	record
ステップ	step
ホルモン	hormone
メリット	merit
タイヤ	tire
バンク	bank
カウンター	counter
オーストラリア	Australia
ランキング	ranking
ブロック	block
ダウン	down
アート	art
スカート	skirt
フィルム	film
オリジナル	original
ミリ	milli
ワーク	work
ケーブル	cable
コミュニティー	community
ノー	no
ドライバー	driver
キャンプ	camp
シンプル	simple
オレンジ	orange
プール	pool
サポート	support
プレーヤー	player
セル	cell
タイミング	timing
パス	pass
メモリー	memory
ワールド	world
ゴール	goal
ブラック	black
ビタミン	vitamin
ファッション	fashion
シェア	share
サーバー	server
アニメ	animation
ツー	two
バイ	by
アウト	out
リサイクル	recycle
カナダ	Canada
インタビュー	interview
オプション	option
ダブル	double
チケット	ticket
アイテム	item
インストール	install
デビュー	debut
キッチン	kitchen
チャンネル	channel
ベルト	belt
コンクリート	concrete
スクール	school
ストーリー	story
ダイエット	diet
スーツ	suit
ディスク	disc
ミルク	milk
サラリーマン	salaryman
スイッチ	switch
マシン	machine
フード	food
トンネル	tunnel
イオン	Ion
ハリー	Harry
パネル	panel
レポート	report
ブーム	boom
ライフ	life
デート	date
マウス	mouse
フォルダー	folder
ハワイ	Hawaii
アイス	ice
アプローチ	approach
ロック	rock
バブル	bubble
ランド	land
カフェ	cafe
オール	all
レーザー	laser
オリンピック	Olympic
ブラジル	Brazil
